,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
0,74.0,60.0,45.0,67.0,49.0,43.0,93.0,75.0,57.0,29.86,29.68,10.0,7.0,2.0,20.0,4.0,31.0,0.46
1,56.0,48.0,39.0,43.0,36.0,28.0,93.0,68.0,43.0,30.41,30.13,10.0,10.0,5.0,16.0,6.0,25.0,0.0
2,58.0,45.0,32.0,31.0,27.0,23.0,76.0,52.0,27.0,30.56,30.49,10.0,10.0,10.0,8.0,3.0,12.0,0.0
3,61.0,46.0,31.0,36.0,28.0,21.0,89.0,56.0,22.0,30.56,30.45,10.0,10.0,7.0,12.0,4.0,20.0,0.0
4,58.0,50.0,41.0,44.0,40.0,36.0,86.0,71.0,56.0,30.41,30.33,10.0,10.0,7.0,10.0,2.0,16.0,0.0
5,57.0,48.0,39.0,39.0,36.0,33.0,79.0,63.0,47.0,30.47,30.4,10.0,9.0,7.0,12.0,3.0,17.0,0.0
6,60.0,53.0,45.0,41.0,39.0,37.0,83.0,65.0,47.0,30.46,30.39,10.0,9.0,7.0,7.0,1.0,11.0,0.0
7,62.0,51.0,40.0,43.0,39.0,33.0,92.0,64.0,36.0,30.33,30.17,10.0,10.0,7.0,10.0,2.0,14.0,0.0
8,64.0,50.0,36.0,49.0,41.0,28.0,92.0,76.0,60.0,30.31,30.1,10.0,10.0,4.0,17.0,5.0,24.0,0.0
9,44.0,40.0,35.0,31.0,26.0,21.0,75.0,60.0,45.0,30.44,30.33,10.0,10.0,10.0,13.0,5.0,21.0,0.0
10,55.0,46.0,36.0,31.0,28.0,23.0,76.0,54.0,32.0,30.49,30.39,10.0,10.0,10.0,8.0,1.0,12.0,0.0
11,69.0,54.0,39.0,51.0,42.0,30.0,83.0,68.0,52.0,30.25,30.11,10.0,10.0,8.0,13.0,4.0,22.0,0.0
12,55.0,44.0,33.0,39.0,26.0,19.0,83.0,55.0,26.0,30.49,30.37,10.0,10.0,9.0,21.0,8.0,31.0,0.0
13,58.0,43.0,28.0,37.0,22.0,18.0,75.0,49.0,22.0,30.48,30.35,10.0,10.0,10.0,14.0,4.0,21.0,0.0
14,71.0,57.0,42.0,55.0,48.0,38.0,89.0,68.0,47.0,30.12,29.95,10.0,10.0,8.0,16.0,7.0,28.0,0.0
15,59.0,47.0,34.0,54.0,32.0,15.0,87.0,59.0,31.0,30.48,30.08,10.0,10.0,4.0,21.0,10.0,34.0,0.0
16,36.0,29.0,22.0,15.0,8.0,2.0,50.0,38.0,26.0,30.8,30.68,10.0,10.0,10.0,17.0,7.0,27.0,0.0
17,48.0,35.0,22.0,29.0,11.0,4.0,68.0,43.0,17.0,30.66,30.52,10.0,10.0,10.0,13.0,5.0,22.0,0.0
18,53.0,47.0,40.0,51.0,45.0,30.0,93.0,75.0,57.0,30.33,30.2,10.0,2.0,1.0,12.0,1.0,18.0,0.16
19,70.0,62.0,53.0,60.0,55.0,50.0,93.0,80.0,66.0,30.18,30.11,10.0,4.0,0.0,12.0,3.0,19.0,0.0
20,72.0,65.0,57.0,64.0,61.0,54.0,93.0,81.0,68.0,29.97,29.87,10.0,8.0,1.0,13.0,6.0,21.0,0.1
21,75.0,62.0,48.0,54.0,37.0,20.0,93.0,53.0,13.0,30.16,30.06,10.0,9.0,5.0,12.0,3.0,19.0,0.0
22,67.0,57.0,46.0,58.0,47.0,33.0,84.0,68.0,52.0,30.12,30.01,10.0,10.0,10.0,15.0,4.0,24.0,0.01
23,71.0,57.0,43.0,60.0,36.0,17.0,87.0,51.0,14.0,30.16,30.01,10.0,9.0,7.0,17.0,7.0,29.0,0.0
24,76.0,57.0,37.0,31.0,25.0,20.0,70.0,41.0,12.0,30.34,30.13,10.0,10.0,10.0,16.0,5.0,29.0,0.0
25,64.0,52.0,40.0,29.0,23.0,16.0,49.0,35.0,21.0,30.47,30.33,10.0,10.0,10.0,14.0,4.0,21.0,0.0
26,72.0,56.0,40.0,31.0,27.0,23.0,55.0,38.0,20.0,30.21,30.13,10.0,10.0,10.0,14.0,4.0,20.0,0.0
27,64.0,54.0,43.0,31.0,20.0,15.0,45.0,31.0,17.0,30.37,30.29,10.0,10.0,9.0,14.0,5.0,21.0,0.0
28,70.0,54.0,37.0,41.0,33.0,23.0,59.0,45.0,31.0,30.26,30.19,10.0,10.0,10.0,12.0,2.0,19.0,0.0
29,72.0,59.0,45.0,41.0,30.0,18.0,64.0,39.0,14.0,30.35,30.22,10.0,10.0,10.0,9.0,3.0,16.0,0.0
30,82.0,64.0,46.0,51.0,36.0,23.0,71.0,44.0,17.0,30.16,30.0,10.0,10.0,10.0,16.0,5.0,26.0,0.0
31,63.0,51.0,38.0,28.0,23.0,19.0,59.0,39.0,19.0,30.43,30.31,10.0,10.0,10.0,15.0,6.0,25.0,0.0
